file_name,AU01_w,AU02_w,AU04_w,AU05_w,AU06_w,AU07_w,AU09_w,AU10_w,AU11_w,AU12_w,AU14_w,AU15_w,AU17_w,AU20_w,AU23_w,AU24_w,AU25_w,AU26_w,AU28_w,AU43_w
F1194_01_1_H.png,0.89,0.67,0.52,0.32,0.67,1.00,0.23,0.83,0.00,0.87,0.53,0.46,0.31,1.00,0.26,0.16,0.99,0.32,0.04,0.03
F1194_01_1_L.png,0.73,0.18,0.47,0.22,0.76,1.00,0.70,0.86,1.00,0.89,0.68,0.35,0.28,1.00,0.29,0.10,0.99,0.66,0.08,0.28
F1194_01_1_M.png,0.73,0.26,0.58,0.30,0.77,1.00,0.50,0.94,1.00,0.92,0.60,0.29,0.27,1.00,0.26,0.14,1.00,0.58,0.10,0.04
F1194_02_1_H.png,0.76,0.45,0.62,0.33,0.12,0.00,0.10,0.42,1.00,0.04,0.21,0.59,0.61,0.00,0.31,0.71,0.61,0.10,0.31,0.02
F1194_02_1_L.png,0.64,0.30,0.80,0.33,0.11,0.00,0.11,0.05,1.00,0.03,0.23,0.73,0.58,0.00,0.43,0.58,0.13,0.14,0.45,0.04
F1194_02_1_M.png,0.54,0.28,0.68,0.32,0.11,0.00,0.14,0.07,1.00,0.03,0.22,0.52,0.63,0.00,0.23,0.55,0.59,0.12,0.17,0.03
F1194_03_1_H.png,0.79,0.36,0.79,0.38,0.22,0.00,0.13,0.43,1.00,0.10,0.21,0.28,0.55,1.00,0.18,0.09,1.00,0.78,0.21,0.05
F1194_03_1_L.png,0.82,0.50,0.48,0.62,0.28,0.00,0.17,0.50,1.00,0.50,0.55,0.72,0.37,1.00,0.34,0.17,1.00,0.87,0.14,0.04
F1194_03_1_M.png,0.85,0.45,0.36,0.62,0.17,0.00,0.12,0.95,1.00,0.14,0.28,0.53,0.45,1.00,0.38,0.04,1.00,0.89,0.19,0.05
F1194_04_1_H.png,0.52,0.19,0.90,0.34,0.13,0.00,0.22,0.51,1.00,0.05,0.25,0.81,0.48,0.00,0.24,0.60,0.07,0.10,0.19,0.06
F1194_04_1_L.png,0.40,0.11,0.95,0.23,0.16,1.00,0.49,0.80,1.00,0.06,0.34,0.45,0.67,0.00,0.43,0.67,0.10,0.15,0.15,0.56
F1194_04_1_M.png,0.40,0.14,0.90,0.22,0.28,1.00,0.56,0.51,1.00,0.20,0.63,0.49,0.54,0.00,0.67,0.55,0.02,0.11,0.69,0.61
